0
0
0
0
0
0
0
0
0
0
0
0
{'gyro': (-19.6533203125, -3.96728515625, -3.23486328125), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (-0.6488286499023437, -0.009576806640625, 4.005499377441406)}
{'gyro': (9.27734375, -2.86865234375, 1.46484375), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (1.2617442749023438, 3.7517140014648436, 12.033257543945313)}
{'gyro': (1.64794921875, 4.638671875, -8.6669921875), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (-0.3758896606445312, 4.965574243164062, 12.959813586425781)}
{'gyro': (-0.54931640625, 4.82177734375, -9.033203125), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (-0.13168109130859373, 3.0526071166992184, 6.4834980957031245)}
{'gyro': (-4.39453125, 2.685546875, -1.64794921875), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (0.3016694091796875, 1.465251416015625, 6.119579443359375)}
{'gyro': (-0.8544921875, -2.8076171875, 13.0615234375), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (0.9121908325195311, 1.1133037719726562, 7.6997525390625)}
{'gyro': (14.16015625, 0.42724609375, 29.72412109375), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (0.5602431884765625, 1.7429788085937499, 10.536881506347656)}
{'gyro': (2.25830078125, 6.65283203125, 27.2216796875), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (0.0909796630859375, 2.2194249389648437, 6.950367419433594)}
{'gyro': (-5.7373046875, 4.94384765625, 19.6533203125), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (-0.0718260498046875, 0.3591302490234375, 12.421118212890624)}
{'gyro': (-6.53076171875, 2.74658203125, 14.46533203125), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (1.3814543579101561, 1.1228805786132812, 5.312733483886719)}
{'gyro': (24.96337890625, 0.91552734375, 5.4931640625), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (1.0630255371093749, 0.7733271362304687, 5.837063647460937)}
{'gyro': (9.1552734375, 6.591796875, -18.5546875), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (-1.35990654296875, -2.612074011230469, 5.307945080566406)}
{'gyro': (0.0, 2.8076171875, -8.30078125), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (-0.08379705810546874, -1.7022773803710936, 7.908048083496094)}
{'gyro': (1.03759765625, -3.35693359375, 7.50732421875), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (-0.11252747802734374, -0.2346317626953125, 6.1650692749023435)}
{'gyro': (7.75146484375, -9.8876953125, 2.38037109375), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (-0.842758984375, 0.9217676391601562, 10.527304699707031)}
{'gyro': (16.2353515625, -1.3427734375, 1.52587890625), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (-0.2705447875976562, 2.2864625854492187, 8.259995727539062)}
{'gyro': (0.732421875, 4.21142578125, 0.42724609375), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (-0.7517793212890624, -0.00239420166015625, 5.046977099609375)}
{'gyro': (30.517578125, -2.3193359375, 8.23974609375), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (0.3806780639648437, 2.4971523315429685, 7.723694555664062)}
{'gyro': (1.220703125, -1.708984375, -0.42724609375), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (0.01915361328125, 0.22026655273437498, 16.024391711425782)}
{'gyro': (-7.62939453125, 2.8076171875, 1.03759765625), 'tb': (0.0, 0.0, 0.0), 'quat': (0.0, 0.0, 0.0, 0.0), 'accel': (1.1444283935546875, -0.7876923461914062, 9.356540087890625)}
